component,worker,rank,source_file,line_number,raw_log_line_pattern,candidate_metric_name,value,timestamp,metric_scope_interpretation,classification,source_kind,unit,avg,min,max,p50,p90,p95
prefill,694d9fdfb4d8ee15,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,454,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,455,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,456,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,457,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,458,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,459,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,460,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,461,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,462,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,463,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,464,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,465,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,466,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,467,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,468,Metric=sglang:num_decode_transfer_queue_reqs; Description=The number of requests in the decode transfer queue.,sglang:num_decode_transfer_queue_reqs,0.0,,The number of requests in the decode transfer queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,501,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1677,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,502,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1677,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,503,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1679,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,504,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1677,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,505,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1677,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,506,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1677,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,507,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1677,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,508,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,2.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1677,0.0,2.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,509,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,510,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,511,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,512,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,513,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,514,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,515,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,516,Metric=sglang:num_prefill_bootstrap_queue_reqs; Description=The number of requests in the prefill bootstrap queue.,sglang:num_prefill_bootstrap_queue_reqs,5.0,,The number of requests in the prefill bootstrap queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2601,0.0,5.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,517,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.151,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,518,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1508,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,519,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1512,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,520,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.151,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,521,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1508,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,522,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.151,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,523,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.151,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,524,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,4.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1508,0.0,4.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,525,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2029,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,526,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2029,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,527,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2027,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,528,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2027,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,529,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2029,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,530,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2027,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,531,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2029,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,532,Metric=sglang:num_prefill_inflight_queue_reqs; Description=The number of requests in the prefill inflight queue.,sglang:num_prefill_inflight_queue_reqs,3.0,,The number of requests in the prefill inflight queue.,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.2029,0.0,3.0,0.0,1.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,533,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1171,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,534,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1171,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,535,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1171,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,536,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1171,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,537,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1171,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=5;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,538,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1171,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=6;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,539,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1171,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee15,tp_rank=7;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,540,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1173,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=0;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,541,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1201,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=1;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,542,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1201,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=2;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,543,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1201,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=3;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,544,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1201,0.0,5.0,0.0,0.0,1.0
prefill,694d9fdfb4d8ee13,tp_rank=4;pp_rank=0,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,545,Metric=sglang:num_queue_reqs; Description=The number of requests in the waiting queue.,sglang:num_queue_reqs,5.0,,"explicit SGLang queue/waiting-request gauge; rank-export scope, not summed",Evidence,aiperf_server_metrics_csv_aggregate,requests,0.1201,0.0,5.0,0.0,0.0,1.0
